"","region","region_code","geography","year","P","G","E","F","g","e","f","ef"
"116","Croatia","HRV","nation",2030,0.00413809328831169,0.0850314322302675,0.309441241052074,15.7147480185374,20.5484570564043,3.63913946802753,50.7842715635077,184.811047001789
"117","Croatia","HRV","nation",2035,0.00409223579012987,0.0957073653342239,0.314686007849567,16.0041040095196,23.3875490667136,3.2880019918074,50.8573740500412,167.21914717463
"118","Croatia","HRV","nation",2040,0.00404637829194805,0.107118399764194,0.321679030246224,16.1399894196494,26.4726607438931,3.00302311231641,50.1742044151753,150.674295500859
"119","Croatia","HRV","nation",2045,0.00400052079376623,0.118928085297888,0.328672052642881,16.2662829184759,29.7281507655718,2.76362014758442,49.4909219925371,136.774109141105
"120","Croatia","HRV","nation",2050,0.0039524796051948,0.132060953218406,0.340909841837031,16.5188699161289,33.412178280398,2.58145828519975,48.4552450205459,125.085193719672
"121","Cyprus","CYP","nation",2015,0.001160985,0.0236480948150598,0.0992716655813046,7.49776331481303,20.3689925494815,4.19787159843784,75.5277275837815,317.055702518506
"122","Cyprus","CYP","nation",2020,0.00115796945454545,0.0266349615640188,0.100406198902234,7.53170988100215,23.0014370927202,3.76971442819248,75.012399267657,282.775323812622
"123","Cyprus","CYP","nation",2025,0.00115314458181818,0.0302575237267185,0.0998389322417692,7.37526048900014,26.239141391109,3.29963988935446,73.8715882010864,243.749639118271
"124","Cyprus","CYP","nation",2030,0.00114289172727273,0.0338981198018647,0.100406198902234,7.25423360084765,29.6599572758791,2.96199905744361,72.2488619244629,214.001060921633
"125","Cyprus","CYP","nation",2035,0.00113022643636364,0.0381541231392493,0.102107998883628,7.38780595911351,33.7579461174218,2.67619828428421,72.3528620665007,193.630605325421
"126","Cyprus","CYP","nation",2040,0.00111756114545455,0.0427031775538902,0.104377065525486,7.45053330968035,38.2110435098578,2.44424587359489,71.3809424720907,174.472574090722
"127","Cyprus","CYP","nation",2045,0.00110489585454545,0.0474111558219663,0.106646132167344,7.508832847266,42.9100676112781,2.2493889954468,70.408862418784,158.37692030674
"128","Cyprus","CYP","nation",2050,0.00109162745454545,0.0526466260291039,0.110616998790597,7.62543192243731,48.2276492862902,2.10112227760703,68.9354439716144,144.841797045491
"129","Czech Republic","CZE","nation",2015,0.010546059,0.225492702208513,1.59392829319523,103.197603498416,21.3817030806022,7.06864691222393,64.744194540611,457.653850823915
"130","Czech Republic","CZE","nation",2020,0.010786878896364,0.243962351221316,1.60791012032853,104.925588253729,22.6165838668635,6.59081252610931,65.2558789991887,430.089264710126
"131","Czech Republic","CZE","nation",2025,0.0109202560697348,0.263576309250401,1.61789713970945,102.020647937522,24.1364586661018,6.13824946676989,63.0575612216259,387.063041544455
"132","Czech Republic","CZE","nation",2030,0.0110239938712454,0.281950219261841,1.65784521723314,101.595338996199,25.5760500735827,5.87992171658335,61.2815587004897,360.330767829087
"133","Czech Republic","CZE","nation",2035,0.0111073546046021,0.300328688273347,1.69379848700446,104.390608453323,27.0387233472235,5.63981581893647,61.6310672457508,347.587867990522
"134","Czech Republic","CZE","nation",2040,0.01116292842684,0.318848486286863,1.74173618003289,106.680321999063,28.5631578108329,5.46258255861963,61.2494149355319,334.579985752493
